Patch My PC Supported Products - Report Created on 02/28/2022 20:10:20 - See: https://patchmypc.com/supported-products-scup-catalog
"Product","Vendor"
"Microsoft Visual Studio Code (x64)","Microsoft Corporation"
"Microsoft Visual Studio Code (x86)","Microsoft Corporation"
"Power Automate Desktop","Microsoft Corporation"
"PowerShell Core (x64)","Microsoft Corporation"
"PowerShell Core (x86)","Microsoft Corporation"
"Remote Desktop Client for Windows Desktop (x64)","Microsoft Corporation"
"Skype 8","Microsoft Corporation"
"Sysmon (x64)","Microsoft Corporation"
"Sysmon (x86)","Microsoft Corporation"
"Mimecast for Outlook (x64)","Mimecast Ltd"
"Mimecast for Outlook (x86)","Mimecast Ltd"
"Mozilla Firefox (x64 da)","Mozilla"
"Mozilla Firefox (x64 de)","Mozilla"
"Mozilla Firefox (x64 en-GB)","Mozilla"
"Mozilla Firefox (x64 en-US)","Mozilla"
"Mozilla Firefox (x64 es-ES)","Mozilla"
"Mozilla Firefox (x64 es-MX)","Mozilla"
"Mozilla Firefox (x64 fr)","Mozilla"
"Mozilla Firefox (x64 it)","Mozilla"
"Mozilla Firefox (x64 nl)","Mozilla"
"Mozilla Firefox (x64 ru)","Mozilla"
"Mozilla Firefox (x86 da)","Mozilla"
"Mozilla Firefox (x86 de)","Mozilla"
"Mozilla Firefox (x86 en-GB)","Mozilla"
"Mozilla Firefox (x86 en-US)","Mozilla"
"Mozilla Firefox (x86 es-ES)","Mozilla"
"Mozilla Firefox (x86 es-MX)","Mozilla"
"Mozilla Firefox (x86 fr)","Mozilla"
"Mozilla Firefox (x86 it)","Mozilla"
"Mozilla Firefox (x86 nl)","Mozilla"
"Mozilla Firefox (x86 ru)","Mozilla"
"Mozilla Firefox ESR (x64 da)","Mozilla"
"Mozilla Firefox ESR (x64 de)","Mozilla"
"Mozilla Firefox ESR (x64 en-GB)","Mozilla"
"Mozilla Firefox ESR (x64 en-US)","Mozilla"
"Mozilla Firefox ESR (x64 es-ES)","Mozilla"
"Mozilla Firefox ESR (x64 es-MX)","Mozilla"
"Mozilla Firefox ESR (x64 fr)","Mozilla"
"Mozilla Firefox ESR (x64 it)","Mozilla"
"Mozilla Firefox ESR (x64 nl)","Mozilla"
"Mozilla Firefox ESR (x64 ru)","Mozilla"
"Mozilla Firefox ESR (x86 da)","Mozilla"
"Mozilla Firefox ESR (x86 de)","Mozilla"
"Mozilla Firefox ESR (x86 en-GB)","Mozilla"
"Mozilla Firefox ESR (x86 en-US)","Mozilla"
"Mozilla Firefox ESR (x86 es-ES)","Mozilla"
"Mozilla Firefox ESR (x86 es-MX)","Mozilla"
"Mozilla Firefox ESR (x86 fr)","Mozilla"
"Mozilla Firefox ESR (x86 it)","Mozilla"
"Mozilla Firefox ESR (x86 nl)","Mozilla"
"Mozilla Firefox ESR (x86 ru)","Mozilla"
"Mozilla SeaMonkey","Mozilla"
"Mozilla Thunderbird (x64)","Mozilla"
"Mozilla Thunderbird (x86)","Mozilla"
"Driver Automation Tool","MSEndpointMgr"
"NSClient++ (x64)","MySolutions NORDIC"
"NSClient++ (x86)","MySolutions NORDIC"
"NetSetMan","NetSetMan GmbH"
"mRemoteNG","Next Generation Software"
"Nextcloud (x64)","Nextcloud GmbH"
"Nextcloud (x86)","Nextcloud GmbH"
"Nitro Pro 11 (x64)","Nitro"
"Nitro Pro 11 (x86)","Nitro"
"Nitro Pro 12 (x64)","Nitro"
"Nitro Pro 12 (x86)","Nitro"
"Nitro Pro 13 (x64)","Nitro"
"Nitro Pro 13 (x86)","Nitro"
"Nitro Pro Enterprise 11 (x64)","Nitro"
"Nitro Pro Enterprise 11 (x86)","Nitro"
"Nitro Pro Enterprise 12 (x64)","Nitro"
"Nitro Pro Enterprise 12 (x86)","Nitro"
"Nitro Pro Enterprise 13 (x64)","Nitro"
"Nitro Pro Enterprise 13 (x86)","Nitro"
"Nmap","Nmap Project"
"Node.js (x64)","Node.js Foundation"
"Node.js (x86)","Node.js Foundation"
"Node.js 10 LTS (x64)","Node.js Foundation"
"Node.js 10 LTS (x86)","Node.js Foundation"
"Node.js 12 LTS (x64)","Node.js Foundation"
"Node.js 12 LTS (x86)","Node.js Foundation"
"Node.js 14 LTS (x64)","Node.js Foundation"
"Node.js 14 LTS (x86)","Node.js Foundation"
"Node.js 16 LTS (x64)","Node.js Foundation"
"Node.js 16 LTS (x86)","Node.js Foundation"
"Notepad++ (x64)","Notepad++ Team"
